date,rate,daily_factor,accumulated
2022-12-29,13.65,1.0005078803732619,1.1730320411501156
2022-12-30,13.65,1.0005078803732619,1.173627801101023
2023-01-02,13.65,1.0005078803732619,1.1742238636267168
2023-01-03,13.65,1.0005078803732619,1.1748202288808687
2023-01-04,13.65,1.0005078803732619,1.1754168970172283
2023-01-05,13.65,1.0005078803732619,1.1760138681896237
2023-01-06,13.65,1.0005078803732619,1.176611142551961
2023-01-09,13.65,1.0005078803732619,1.1772087202582244
2023-01-10,13.65,1.0005078803732619,1.1778066014624764
2023-01-11,13.65,1.0005078803732619,1.1784047863188574
2023-01-12,13.65,1.0005078803732619,1.1790032749815866
2023-01-13,13.65,1.0005078803732619,1.1796020676049612
2023-01-16,13.65,1.0005078803732619,1.180201164343357
2023-01-17,13.65,1.0005078803732619,1.1808005653512277
2023-01-18,13.65,1.0005078803732619,1.1814002707831062
2023-01-19,13.65,1.0005078803732619,1.1820002807936032
2023-01-20,13.65,1.0005078803732619,1.1826005955374084
2023-01-23,13.65,1.0005078803732619,1.1832012151692897
2023-01-24,13.65,1.0005078803732619,1.1838021398440937
2023-01-25,13.65,1.0005078803732619,1.184403369716746
