fund,date,proxy_return
Brave I FIC FIM CP,2022-08-31,-0.0927580738803875
Brave I FIC FIM CP,2022-09-01,-0.09026971798787178
Brave I FIC FIM CP,2022-09-02,-0.09129346791048351
Brave I FIC FIM CP,2022-09-05,-0.09350675103132676
Brave I FIC FIM CP,2022-09-06,-0.0942449654967071
Brave I FIC FIM CP,2022-09-08,-0.0923452571151022
Brave I FIC FIM CP,2022-09-09,-0.09297821473676636
Brave I FIC FIM CP,2022-09-12,-0.09149735535402288
Brave I FIC FIM CP,2022-09-13,-0.09169335610759925
Brave I FIC FIM CP,2022-09-14,-0.09352969756974859
Brave I FIC FIM CP,2022-09-15,-0.09399267466507183
Brave I FIC FIM CP,2022-09-16,-0.09469509250913914
Brave I FIC FIM CP,2022-09-19,-0.09753001193174868
Brave I FIC FIM CP,2022-09-20,-0.09617378791783383
Brave I FIC FIM CP,2022-09-21,-0.09292696079019779
Brave I FIC FIM CP,2022-09-22,-0.09281130859242309
Brave I FIC FIM CP,2022-09-23,-0.0931612101219028
Brave I FIC FIM CP,2022-09-26,-0.09273612286695526
Brave I FIC FIM CP,2022-09-27,-0.09853099097111873
Brave I FIC FIM CP,2022-09-28,-0.10414690795556467
Brave I FIC FIM CP,2022-09-29,-0.10462265830335896
Brave I FIC FIM CP,2022-09-30,-0.10516969621538048
Brave I FIC FIM CP,2022-10-03,-0.10570876328366856
Brave I FIC FIM CP,2022-10-04,-0.10483331286945723
Brave I FIC FIM CP,2022-10-05,-0.10485294513460863
Brave I FIC FIM CP,2022-10-06,-0.1031798921647724
Brave I FIC FIM CP,2022-10-07,-0.103250101233861
Brave I FIC FIM CP,2022-10-10,-0.10189143869243136
Brave I FIC FIM CP,2022-10-11,-0.10407566543676502
Brave I FIC FIM CP,2022-10-13,-0.1056455380151783
Brave I FIC FIM CP,2022-10-14,-0.10592798500097605
Brave I FIC FIM CP,2022-10-17,-0.10667846977037698
Brave I FIC FIM CP,2022-10-18,-0.10934989913134956
Brave I FIC FIM CP,2022-10-19,-0.10656510645853444
Brave I FIC FIM CP,2022-10-20,-0.10530113802372389
Brave I FIC FIM CP,2022-10-21,-0.10273569984353798
Brave I FIC FIM CP,2022-10-24,-0.10496371652682172
Brave I FIC FIM CP,2022-10-25,-0.10629480571559512
Brave I FIC FIM CP,2022-10-26,-0.10856205472706563
Brave I FIC FIM CP,2022-10-27,-0.10961628057069862
Brave I FIC FIM CP,2022-10-28,-0.11016588705622185
Brave I FIC FIM CP,2022-10-31,-0.11094144622027664
Brave I FIC FIM CP,2022-11-01,-0.10741657380530541
Brave I FIC FIM CP,2022-11-03,-0.1076960672321648
Brave I FIC FIM CP,2022-11-04,-0.1067922100585141
Brave I FIC FIM CP,2022-11-07,-0.10085447218313491
Brave I FIC FIM CP,2022-11-08,-0.1019426335759619
Brave I FIC FIM CP,2022-11-09,-0.10399461679169453
Brave I FIC FIM CP,2022-11-10,-0.10091064621641868
Brave I FIC FIM CP,2022-11-11,-0.10055361569630855
